company_name(s),dead_url,error_or_status,confidence_dead,working_alternate,alternate_type
"Rockchapel Parent, Baby & Toddler Group",https://totsspots.com/listing/rockchapel-baby-toddler-group/,The read operation timed out,"LOW-MEDIUM - timed out, could be slow server or genuinely down",https://www.totsspots.com/listing/rockchapel-baby-toddler-group/,same domain (safe)
"Sandyford Parent, Baby & Toddler Group",https://totsspots.com/listing/sandyford-parent-toddler-group/,The read operation timed out,"LOW-MEDIUM - timed out, could be slow server or genuinely down",https://www.totsspots.com/listing/sandyford-parent-toddler-group/,same domain (safe)
"Shanakill Tralee Parent, Baby & Toddler Group",https://totsspots.com/listing/shanakill-parent-baby-toddler-group/,The read operation timed out,"LOW-MEDIUM - timed out, could be slow server or genuinely down",https://www.totsspots.com/listing/shanakill-parent-baby-toddler-group/,same domain (safe)
"Shercock Parent, Baby and Toddler Group",https://totsspots.com/listing/shercock-parent-baby-and-toddler-group/,The read operation timed out,"LOW-MEDIUM - timed out, could be slow server or genuinely down",http://totsspots.com/listing/shercock-parent-baby-and-toddler-group/,same domain (safe)
The Irish National Sailing & Powerboat School,https://courses.inss.ie/contact-us/,The read operation timed out,"LOW-MEDIUM - timed out, could be slow server or genuinely down",http://courses.inss.ie/contact-us/,same domain (safe)
Tiny Tornados,https://totsspots.com/listing/messy-play-limerick-tipperary/,The read operation timed out,"LOW-MEDIUM - timed out, could be slow server or genuinely down",https://www.totsspots.com/listing/messy-play-limerick-tipperary/,same domain (safe)
BabyGrá - Baby Massage & Yoga Cork,https://www.babygra.ie,HTTP Error 403: Forbidden,"LOW - site blocking automated checks, may be fine in a real browser",,
Balbriggan baby and toddler group,https://www.facebook.com/share/twcnxn7mpYaHLXCj/,HTTP Error 400: Bad Request,"LOW - likely just Facebook blocking automated checks, probably fine",,
"Bree Enniscorthy Parent, Baby and Toddler Group",https://www.independent.ie/regionals/wexford/enniscorthy-news/localnotes/around-the-districts-bree-galbally-to-kiltealy-ballindaggin/a1010161768.html,HTTP Error 403: Forbidden,"LOW - site blocking automated checks, may be fine in a real browser",https://independent.ie/regionals/wexford/enniscorthy-news/localnotes/around-the-districts-bree-galbally-to-kiltealy-ballindaggin/a1010161768.html,same domain (safe)
Bumps & Bainne Baby Massage Classes,https://buytickets.at/bumpsbainne/2252232,HTTP Error 403: Forbidden,"LOW - site blocking automated checks, may be fine in a real browser",http://buytickets.at/bumpsbainne/2252232,same domain (safe)
